trace_id,prompt,completion,Fluency,Coherence,Relevance,IsNegativeSample,Notes
0xc66fa29b769406dfc905ce3b8f75c8d8,What are the solutions provided for common feature set CRUD Errors in Azure Machine Learning's managed feature store?,"I'm sorry, but I couldn't find any relevant information about common feature set CRUD errors in Azure Machine Learning's managed feature store in the given context. Could you please provide more specific information or clarify your question?",4,3,1,T,
0xb288a1cd081b4c71d877ec18a63f37a5,How does Azure Machine Learning use managed feature stores?,"Azure Machine Learning uses managed datastores to connect to storage accounts. When configuring a datastore to use managed identity authentication, the workspace's managed identity is added as a Reader to the associated storage service using Azure RBAC. This allows the workspace to view the resource but not make changes. By enabling managed identity authentication, Azure Machine Learning can access data in the storage account from within the virtual network. (Source: how-to-enable-studio-virtual-network.md)",5,5,2,T,"Ask feature store, answer  virtual network"
0x350316b5a3e6684254742f5b35403dfb,What is the purpose of feature set materialization in Azure Machine Learning?,"I'm sorry, but I couldn't find any information about ""feature set materialization"" in the given content.",1,1,1,T,
0xe126bc77a694aa4dbe84a1ef388e7cae,How does the code for creating a model differ between Azure Machine Learning SDK v1 and SDK v2?,"In the given context, there is no specific information about the differences in the code for creating a model between Azure Machine Learning SDK v1 and SDK v2. The context mainly focuses on guidelines for deploying MLflow models and managing models with Azure Machine Learning.",4,2,1,T,not featurestore question
0x5390c431d4cf8b4dfbb0bc924b1c77b2,What are the required keys in the CLI (v2) feature set YAML schema?,"The required keys in the CLI (v2) feature set YAML schema are `$schema`, `name`, and `type`. (Source: reference-yaml-feature-set.md)",5,5,5,T,It uses other resources YAML to answer feature set. The answer is not correct
0xbc776d00af3c5663907260bde7b8d238,"What are some of the errors that can cause ""Validation for Schema Failed"" error message in Azure Machine Learning v2 CLI?","Some errors that can cause the ""Validation for Schema Failed"" error message in Azure Machine Learning v2 CLI include providing an invalid value for a parameter and including an unknown field in the YAML file. (Source: how-to-troubleshoot-validation-for-schema-failed-error.md)",5,5,5,F,
0xa824c870e2a558cab603d60cf04b13aa,What is a feature set and how can it be defined in Azure Machine Learning?,"A feature set is a collection of features or variables that are used as inputs to a machine learning model. It represents the characteristics or attributes of the data that are relevant for the prediction task. In Azure Machine Learning, a feature set can be defined by selecting the desired features from the available data or by transforming the data to create new features that capture important patterns or relationships. Feature engineering techniques such as scaling, normalization, and encoding can also be applied to preprocess the data and create meaningful features. (Source: concept-automated-ml.md)",5,5,5,F,"ask feature set, answer looks reasonable"
0x5b225fdfe324255103d229dfc55baa85,How can access to Azure Machine Learning managed feature store resources be managed?,"To manage access to Azure Machine Learning managed feature store resources, you can use Azure role-based access control (RBAC). RBAC allows you to assign permissions to users, groups, or service principals at different levels, such as the feature store or individual features. By assigning appropriate roles, you can control who can view, modify, or delete feature store resources. Additionally, RBAC provides fine-grained control over which actions can be performed on the resources. For more information on managing access to Azure Machine Learning managed feature store resources using RBAC, you can refer to the [Azure RBAC documentation](https://docs.microsoft.com/azure/role-based-access-control/overview). (Source: concept-plan-manage-cost.md)",5,5,5,F,It uses other docs to answer the feature store access question (general RBAC doc). The answer looks reasonable
0x8b6b4355811b099a23cb6c46f95831de,What are the required fields in the Azure Data Lake Gen2 datastore YAML schema?,"The required fields in the Azure Data Lake Gen2 datastore YAML schema are:
- `type` (string): The datastore type, which must be set to `azure_data_lake_gen2`.
- `name` (string): The name of the datastore.
- `account_name` (string): The Azure storage account name. 
- `filesystem` (string): The file system name, which is equivalent to an Azure Blob storage container. 
(Source: reference-yaml-datastore-data-lake-gen2.md)",5,5,5,F,
0xc7433cafd996dcf7a8280247a173205f,How can you utilize ONNX with Azure Machine Learning AutoML for image classification tasks?,"To utilize ONNX with Azure Machine Learning AutoML for image classification tasks, you need to download the ONNX model files from an AutoML training run. Then, you need to understand the inputs and outputs of the ONNX model and preprocess your data to match the required format. Finally, you can perform inference using ONNX Runtime for Python and visualize the predictions for object detection and instance segmentation tasks (Source: how-to-inference-onnx-automl-image-models.md).",5,5,5,F,
0x056011e546e7d21244043e7683d87797,How can one run workspace diagnostics using Azure Machine Learning studio or Python SDK?,"To run workspace diagnostics using Azure Machine Learning studio, you can select the '__?__' icon from the upper right corner of the page and then select __Run workspace diagnostics__ (Source: how-to-workspace-diagnostic-api.md).

To run workspace diagnostics using the Python SDK, you can use the following code snippet:

```python
from azure.ai.ml import MLClient
from azure.ai.ml.entities import Workspace
from azure.identity import DefaultAzureCredential

subscription_id = '<your-subscription-id>'
resource_group = '<your-resource-group-name>'
workspace = '<your-workspace-name>'

ml_client = MLClient(DefaultAzureCredential(), subscription_id, resource_group)
resp = ml_client.workspaces.begin_diagnose(workspace)
print(resp)
```
(Source: how-to-workspace-diagnostic-api.md)",5,5,5,F,
0xee61687758061e09761bdf489789003a,What are the prerequisites for configuring compute clusters or compute instances in an Azure Machine Learning managed virtual network?,"To configure compute clusters or compute instances in an Azure Machine Learning managed virtual network, you need to ensure that your network allows websocket connections to *.instances.azureml.net and *.instances.azureml.ms, and that web socket communication is not disabled for the compute instance Jupyter functionality to work (Source: concept-compute-instance.md).",5,5,5,F,
0xe4b8921e6d27f122c1f8fd4079d40010,How can you securely store and retrieve secrets for training jobs in Azure Machine Learning?,"You can securely store and retrieve secrets for training jobs in Azure Machine Learning by using the Azure Key Vault. The Azure Key Vault allows you to securely store and retrieve secrets, such as authentication credentials, for your machine learning jobs. You can use the Azure Identity SDK and the Key Vault client library to authenticate to the key vault and retrieve the secrets. (Source: how-to-use-secrets-in-runs.md)",5,5,5,F,
0x4c95b74af24b1166acf55f8f2978ced0,How can one speed up the AutoML process when it's slow on their data?,"To speed up the AutoML process when it's slow on your data, you can consider the following configuration changes:

- Block time series models like ARIMA and Prophet.
- Turn off look-back features like lags and rolling windows.
- Reduce the number of trials/iterations, trial/iteration timeout, experiment timeout, and the number of cross-validation folds.
- Ensure that early termination is enabled. (Source: how-to-automl-forecasting-faq.md)",5,5,5,F,
0xf6832d77684dc1863a87f41ac3a43327,What steps should be taken to configure compute resources without using a public IP address in a managed virtual network?,"To configure compute resources without using a public IP address in a managed virtual network, you can follow these steps:

1. Use the Azure CLI or Python SDK to create a compute cluster or compute instance.
    - For the Azure CLI command, use the `--set enable_node_public_ip=False` option.
    - For the Python SDK example, set the `enable_node_public_ip` parameter to `False`.
2. In Azure Machine Learning Studio, select your workspace, go to the Compute page, and select ""+ New"" to create a compute instance or compute cluster.
    - For a compute cluster, select the ""Advanced Settings"" page and choose the ""No Public IP"" option.
    - For a compute instance, select the ""Security"" page and choose the ""No Public IP"" option.
3. Continue with the creation of the compute resource.

(Source: [how-to-managed-network-compute.md](how-to-managed-network-compute.md))",5,5,5,F,
0xd241b0167edf37c96056a119e4bd8652,How can you secure a managed online endpoint using network isolation in Azure Machine Learning?,"To secure a managed online endpoint using network isolation in Azure Machine Learning, you can use private endpoints. Private endpoints allow you to secure inbound communication to the managed online endpoint from a client's virtual network. They also enable outbound communication from deployments to services through private endpoints of a workspace-managed virtual network. By configuring private endpoints and using a workspace-managed virtual network, you can achieve network isolation for your managed online endpoint. (Source: concept-secure-online-endpoint.md, concept-secure-online-endpoint.md)",5,5,5,F,
0xb9ad55253033e6d0c4e861edffef28e5,What are the benefits and features of using an Azure Machine Learning datastore?,"The benefits of using an Azure Machine Learning datastore include: 
1. Access to different types of storage resources like Blob, Files, and ADLS through a common API. 
2. Easier discovery of useful datastores in team operations. 
3. Secure connection information, eliminating the need to place sensitive information in scripts. 
4. Support for credential-based authentication with service principal, shared access signature (SAS) token, or account key. 
5. Support for identity-based authentication using Microsoft Entera identity or managed identity (Source: concept-data.md).",5,5,5,F,
0xa7ab162df4a62d9ff24fd0f9f73b6fad,Which models are supported by the Responsible AI component in Azure Machine Learning?,"The Responsible AI component in Azure Machine Learning supports various models. It provides capabilities for fairness assessment, error analysis, model interpretability, counterfactual what-if analysis, and causal inference. These capabilities can be used to assess model fairness, understand model behavior, generate human-understandable descriptions of model predictions, and simulate feature changes and perturbations. (Source: concept-responsible-ai.md)",5,5,5,F,
0x1194713358e08549306011d1c42143de,What is the purpose of the `$schema` key in the CLI (v2) Spark job YAML schema?,"The purpose of the `$schema` key in the CLI (v2) Spark job YAML schema is to specify the YAML schema. When using the Azure Machine Learning VS Code extension to author the YAML file, including `$schema` at the top of the file enables the user to invoke schema and resource completions. (Source: reference-yaml-job-spark.md)",5,5,5,F,
0xb87f690c51d99d8b07ae299e4333bc84,What is the purpose of an Azure Machine Learning managed feature store and how does it work in the machine learning lifecycle?,"The purpose of an Azure Machine Learning managed feature store is to provide a central repository to store, share, and manage features (also known as variables or attributes) used in machine learning models. It helps to improve collaboration and consistency across a team or organization by allowing data scientists and engineers to access and reuse features easily. In the machine learning lifecycle, the feature store is used during the training phase to store and retrieve features for model training and evaluation. It can also be used during the deployment phase to feed features into production models. (Source: overview-what-is-azure-machine-learning.md)",5,5,5,F,"feature store question, answer looks good"
0x5c06a53669d4aa0f4308d731a975e6dc,How can open source models not included in the model catalog be imported into your Azure Machine Learning workspace?,"To import open source models that are not included in the model catalog into your Azure Machine Learning workspace, you can use the Model Import Notebook. The Model Import Notebook allows you to import models from Hugging Face, an open-source library for natural language processing (NLP), into your workspace. You can import models for tasks such as fill-mask, token-classification, question-answering, summarization, text-generation, text-classification, translation, image-classification, and text-to-image. It is important to note that models from Hugging Face are subject to third-party license terms, so you should comply with the model's license terms. The Model Import Notebook can be found in the azureml-examples git repo. (Source: how-to-use-foundation-models.md)",5,5,5,F,
0xef928b6e940b4be3471a845a5e5a0632,What are the methods to log images with MLflow?,"There are two methods to log images with MLflow:

1. Log numpy metrics or PIL image objects: You can log images by using the `mlflow.log_image(img, ""figure.png"")` method. The `img` parameter should be an instance of `numpy.ndarray` or `PIL.Image.Image`, and ""figure.png"" is the name of the artifact that will be generated inside the run. It doesn't have to be an existing file. (Source: [Logging curves or list of values](#logging-curves-or-list-of-values))

2. Log matlotlib plot or image file: You can log images by using the `mlflow.log_figure(fig, ""figure.png"")` method. ""figure.png"" is the name of the artifact that will be generated inside the run. It doesn't have to be an existing file. (Source: [Logging curves or list of values](#logging-curves-or-list-of-values))",5,5,5,F,
0xdf205368005d4533e6a1256e0074cd5a,What NLP tasks does Automated ML support in Azure Machine Learning?,"Automated ML in Azure Machine Learning supports the following NLP tasks:
1. Multi-class text classification: This task involves predicting the correct class for each sample, where there are multiple possible classes and each sample is classified as exactly one class. An example is classifying a movie script as ""Comedy"" or ""Romantic"".
2. Multi-label text classification: This task involves predicting all the classes for each sample, where there are multiple possible classes and each sample can be assigned any number of classes. An example is classifying a movie script as ""Comedy"" or ""Romantic"" or both.
3. Named Entity Recognition (NER): This task involves predicting the tags for all the tokens in sequences, where there are multiple possible tags for tokens. An example is extracting domain-specific entities from unstructured text, such as contracts or financial documents. (Source: concept-automated-ml.md)",5,5,5,F,
0x480a217e48e84673d07f32331f533f43,How can a user manage Virtual Machines attached to an Azure Machine Learning workspace?,"The user can manage virtual machines attached to an Azure Machine Learning workspace through the Azure portal, Azure Machine Learning studio, the Azure Machine Learning SDK for Python, the Azure Machine Learning CLI, or the Azure Machine Learning VS Code Extension. They can create and manage compute resources, including compute instances, in any of these interfaces (Source: concept-workspace.md).",5,5,5,F,
0xf59155659adefebf39d39b9688faee23,What are the prerequisites for deploying model packages to online endpoints in Azure Machine Learning?,"The prerequisites for deploying model packages to online endpoints in Azure Machine Learning are to train a machine learning model and collect all the dependencies required for the model to run successfully. These dependencies include a base image or environment, a list of Python packages and dependencies, extra assets for inference, software required for the inference server, and an inference routine if needed. (Source: [Model packages for deployment (preview)](https://docs.microsoft.com/azure/machine-learning/how-to-create-register-package-deploy?tabs=python))",5,5,5,F,
0x000ede40aa22e6921fe3fe739192fdf5,What are the benefits of converting a custom ML model into an MLflow format with Azure Machine Learning?,"Converting a custom ML model into MLflow format with Azure Machine Learning provides several benefits, including:

1. No code deployment: MLflow models can be deployed without the need for writing additional code for deployment (Source: [Convert custom ML models to MLflow formatted models](how-to-convert-custom-model-to-mlflow.md)).
2. Portability as an open-source standard format: MLflow models are stored in a standardized format, making them portable and easily shareable across different platforms and frameworks (Source: [Convert custom ML models to MLflow formatted models](how-to-convert-custom-model-to-mlflow.md)).
3. Ability to deploy both locally and on the cloud: MLflow models can be deployed locally or on cloud platforms, providing flexibility in deployment options (Source: [Convert custom ML models to MLflow formatted models](how-to-convert-custom-model-to-mlflow.md)).

These benefits enable easier model deployment and management, making it more convenient for using ML models in real-world applications.",5,5,5,F,
0x781ae2dcdf80a77d34d26d32bd28c005,What are the steps to preprocess your data for an ONNX model?,"To preprocess your data for an ONNX model, you can follow these steps:

1. Define the model data schema: Your model expects input and output data in a specific format. You can define the format of your data using classes in ML.NET. You can also use tools like Netron to inspect your ONNX model and determine the input and output schema.

2. Initialize MLContext: Create a new instance of `MLContext` in the `Main` method of your `Program` class. `MLContext` is a starting point for all ML.NET operations and allows you to create a new ML.NET environment that can be shared across the model lifecycle.

3. Add a reference to your ONNX model file in your application: Copy your ONNX model to your application's root directory and add the following content to the `AutoMLONNXConsoleApp.csproj` file:

```xml
<ItemGroup>
    <None Include=""automl-model.onnx"">
        <CopyToOutputDirectory>PreserveNewest</CopyToOutputDirectory>
    </None>
</ItemGroup>
```

4. Define the model input schema: Create a new class called `OnnxInput` inside the `Program.cs` file, with properties that match the input features of your ONNX model.

5. Load the ONNX model: Use the `InferenceSession` class from the `onnxruntime` package to load the ONNX model file and create an instance of the `InferenceSession` class.

(Source: how-to-use-automl-onnx-model-dotnet.md)",5,5,5,F,
0xa2d39b160dfc69943b197df5c55b4685,How can you adapt an existing R script to run as a job in Azure Machine Learning?,"To adapt an existing R script to run as a job in Azure Machine Learning, you can follow these steps:

1. Remove any interactive inputs or outputs from the script to ensure it can run unattended.
2. Pass any required input parameters to the script via the `Rscript` call.
3. Use the `optparse` package in your R script to parse the inputs and perform type conversions.
4. Source the `azureml_utils.R` helper script in the same working directory of the R script to enable communication with the MLflow server and use logging functions.
5. Read data files as local files within the running container, as Azure Machine Learning mounts the specified data on the container.

(Source: how-to-r-modify-script-for-production.md)",5,5,5,F,
0x56cb6c58a72f7934caaefe86b4044db8,What are the types of data sources supported in the CLI (v2) feature set specification YAML schema?,"The types of data sources supported in the CLI (v2) feature set specification YAML schema include `uri_file` for data that points to a single file source, and `uri_folder` for data that points to a folder source. (Source: reference-yaml-data.md)",5,5,5,F,"feature store question, use other docs to answer, answer looks good"
0x238d8834e3046eb0faee3aa90b68187e,What steps are required to authenticate your Git account with SSH in Azure Machine Learning?,"To authenticate your Git account with SSH in Azure Machine Learning, you need to generate a new SSH key, add the public key to your Git account, and then clone the Git repository using SSH. Here are the steps:

1. Generate a new SSH key by opening the terminal in the Azure Machine Learning Notebook tab and running the following command:
   ```
   ssh-keygen -t rsa -b 4096 -C ""your_email@example.com""
   ```

2. Add the public key to your Git account by copying the contents of your public key file (usually `~/.ssh/id_rsa.pub`) and following the instructions for your preferred Git service:
   - [GitHub](https://docs.github.com/github/authenticating-to-github/adding-a-new-ssh-key-to-your-github-account)
   - [GitLab](https://docs.gitlab.com/ee/user/ssh.html#add-an-ssh-key-to-your-gitlab-account)
   - [Azure DevOps](/azure/devops/repos/git/use-ssh-keys-to-authenticate#step-2--add-the-public-key-to-azure-devops-servicestfs)
   - [BitBucket](https://support.atlassian.com/bitbucket-cloud/docs/set-up-an-ssh-key/#SetupanSSHkey-ssh2)

3. Clone the Git repository using SSH by copying the SSH Git clone URL from the Git repo and running the `git clone` command with the URL. For example:
   ```
   git clone git@example.com:GitUser/your-repo.git
   ```

(Source: concept-train-model-git-integration.md)",5,5,5,F,
0xf2acb968c3e8d493356f200f2cde85c4,What are some limitations to consider when creating compute clusters in Azure Machine Learning?,"When creating compute clusters in Azure Machine Learning, there are a few limitations to consider. 

1. **Quota limits**: AmlCompute has a quota configuration that limits the number of resources available in your subscription. The quota varies by VM family and region, and can be increased if needed. (Source: how-to-manage-quotas.md)
2. **Resource limits**: There are certain resource limits set for compute clusters, such as the maximum number of nodes, the maximum job lifetime, and the number of parameter servers per node. These limits may affect the scalability and duration of your training runs. (Source: how-to-manage-quotas.md)
3. **Communication-enabled pools**: If you set up a compute cluster as a communication-enabled pool, there are limitations on the number of nodes that can be included in the cluster. The limit varies depending on whether the cluster is on an RDMA-enabled VM family or not. (Source: how-to-manage-quotas.md)

It's important to be aware of these limitations and plan your compute clusters accordingly to avoid any unexpected issues.",5,5,5,F,
0x30ab072f326303a4bdc35bc35f98778d,What types of assets can be searched for in Azure Machine Learning?,"In Azure Machine Learning, you can search for several types of assets, including jobs, models, components, environments, and data. (Source: how-to-search-assets.md)",5,5,5,F,
0x60316a1fe932bfd50b683f8f841d9722,How does the tiling feature in Azure's AutoML aid in detecting small objects in high-resolution images?,"The tiling feature in Azure's AutoML helps in detecting small objects in high-resolution images by dividing the image into a grid of overlapping tiles (Source: how-to-use-automl-small-object-detect.md). Each tile is cropped from the original image and resized before being passed through the model. By using tiling, any objects that fall on the tile border are included completely in one of the tiles, improving the model's capability to detect smaller objects (Source: how-to-use-automl-small-object-detect.md).",5,5,5,F,
0xa92594a1ab3eed00d6695c6930359f24,How can you configure data access to allow Fabric and Azure Machine Learning to read and write the same data without having to copy it?,"To configure data access to allow Fabric and Azure Machine Learning to read and write the same data without having to copy it, you can take advantage of OneLake shortcuts and Azure Machine Learning datastores. By pointing a OneLake shortcut and a datastore to the same storage account, you can ensure that both Fabric and Azure Machine Learning read from and write to the same underlying data. (Source: how-to-use-batch-fabric.md)",5,5,5,F,
0x21182b1016cac1e33b543d8036980567,How can a pipeline be deployed as a batch endpoint in Azure Machine Learning?,"To deploy a pipeline as a batch endpoint in Azure Machine Learning, you first need to convert your pipeline into a pipeline component. Then, you can deploy the pipeline component as a batch endpoint. You can also deploy your pipeline job as a batch endpoint, and Azure Machine Learning will automatically create the pipeline component for you. (Source: how-to-deploy-pipeline-component-as-batch-endpoint.md)",5,5,5,F,
0x69dc0bfd5e2d3f5b9a06bd2088752a61,What is the typical workflow for using R with Azure Machine Learning?,"The typical workflow for using R with Azure Machine Learning involves developing R scripts interactively using Jupyter Notebooks, adapting the script to run as a production job, submitting remote asynchronous R jobs, registering the model using Azure Machine Learning studio, and deploying registered R models to managed online endpoints for real-time inferencing or scoring. (Source: how-to-r-overview-r-capabilities.md)",5,5,5,F,
0xada1a0a121855d65ab1e2a900be7062d,What types of metrics and charts does Azure Machine Learning provide for model evaluation?,"Azure Machine Learning provides various metrics and charts for model evaluation, including confusion matrix, receiver operating characteristic (ROC) curve, precision-recall (PR) curve, lift curve, cumulative gains curve, and calibration curve. These metrics and charts help measure the performance of classification models. (Source: how-to-understand-automated-ml.md)",5,5,5,F,
0xf7014d250ef1120d8240f57a5dfa48d4,What are the hyperparameters that can be used for image classification tasks in automated ML for computer vision?,"The hyperparameters that can be used for image classification tasks in automated ML for computer vision are:

- `number_of_epochs`: Number of training epochs. Default is 15, except for `yolov5` where the default is 30.
- `training_batch_size`: Training batch size. Default varies based on the task, but the value for multi-class/multi-label is 78, except for *vit-variants* where it can vary. For object detection, the default is 2, except for `yolov5` where the default is 16. For instance segmentation, the default is 2.
- `validation_batch_size`: Validation batch size. Default varies based on the task, but the value for multi-class/multi-label is 78, except for *vit-variants* where it can vary. For object detection, the default is 1, except for `yolov5` where the default is 16. For instance segmentation, the default is 1.
- `gradient_accumulation_step`: Number of gradient accumulation steps. Default is 1.
- `early_stopping`: Enable early stopping logic during training. Default is 1.
- `early_stopping_patience`: Minimum number of epochs or validation evaluations with no primary metric improvement before the run is stopped. Default is 5.
- `early_stopping_delay`: Minimum number of epochs or validation evaluations to wait before primary metric improvement is tracked for early stopping. Default is 5.
- `learning_rate`: Initial learning rate. Default varies based on the task and model, but values for multi-class, multi-label, object detection, and instance segmentation are provided.
- `learning_rate_scheduler`: Type of learning rate scheduler. Must be `warmup_cosine` or `step`. Default is `warmup_cosine`.
- `step_lr_gamma`: Value of gamma when learning rate scheduler is `step`. Default is 0.5.
- `step_lr_step_size`: Value of step size when learning rate scheduler is `step`. Default is 5.
- `warmup_cosine_lr_cycles`: Value of cosine cycles when learning rate scheduler is `warmup_cosine`. Default is 0.45.
- `warmup_cosine_lr_warmup_epochs`: Value of warmup epochs when learning rate scheduler is `warmup_cosine`. Default is 2.
- `optimizer`: Type of optimizer. Must be `sgd`, `adam`, or `adamw`. Default is `sgd`.
- `momentum`: Value of momentum when optimizer is `sgd`. Default is 0.9.",5,5,5,F,
0xc3be69061c0262a5c0204afd83cd6cda,How can instance types be utilized for efficient utilization of compute resources in Azure Machine Learning?,"Instance types in Azure Machine Learning allow targeting specific types of compute nodes for training and inference workloads. They can be used to specify which node a pod should run on in Kubernetes clusters, and to set compute resources (CPU, memory, and NVIDIA GPU) for the pod. By creating and managing instance types, users can ensure efficient utilization of compute resources in Azure Machine Learning.(Source: how-to-manage-kubernetes-instance-types.md)",5,5,5,F,
0xbd8a9132f6b9d391e7a870b74a82b950,What are the key components of the CLI (v2) pipeline component YAML schema in Azure Machine Learning?,"The key components of the CLI (v2) pipeline component YAML schema in Azure Machine Learning are:

1. `$schema`: The YAML schema. It enables you to invoke schema and resource completions when authoring the YAML file using the Azure Machine Learning VS Code extension.
2. `type`: The type of component.
3. `name`: The name of the component.
4. `version`: The version of the component. It can be auto-generated if omitted.
5. `display_name`: The display name of the component in the studio UI.
6. `description`: The description of the component.
7. `tags`: A dictionary of tags for the component.
8. `jobs`: A dictionary of individual jobs to run as steps within the pipeline.
9. `inputs`: A dictionary of inputs to the pipeline job.
10. `outputs`: A dictionary of output configurations of the pipeline job.

(Source: reference-yaml-component-pipeline.md)",5,5,5,F,
0xc6e152615002fbae0d8b4c68d986dbf0,What are the common issues that can occur during batch endpoint development and consumption in Azure Machine Learning and how can they be solved?,"Common issues that can occur during batch endpoint development and consumption in Azure Machine Learning include:

1. **Job failures**: Batch inference jobs may fail due to various reasons such as compute resource issues, network connectivity problems, or errors in the scoring script. To solve this, you can check the job logs for error messages, inspect the job status to identify the cause of the failure, and make necessary changes to the deployment or scoring script.

2. **Data access errors**: If the batch endpoint is unable to access the input data from the specified storage account or data asset, it may result in data access errors. You can troubleshoot this issue by ensuring that the necessary permissions are granted to the endpoint, verifying the correct configuration of data sources, and checking the availability of the data in the specified location.

3. **Performance issues**: Batch endpoints may encounter performance issues if the deployed model or pipeline components are resource-intensive or if the cluster configuration is not optimized. To address this, you can consider using low-priority VMs, adjusting compute resource settings, optimizing the scoring script, or scaling up the compute resources based on the workload.

4. **Security and authentication**: Batch endpoints require proper security and authentication mechanisms to ensure the protection of data and resources. If there are issues related to authentication, you can review the authentication settings, ensure that the correct authentication method is used (e.g., user principal or service principal), and validate the credentials being used.

5. **Scaling and resource management**: Managing the scaling and resource utilization of batch endpoints can be challenging. You can optimize resource consumption by using scaling compute to zero when idle, configuring autoscaling based on job count, and organizing endpoints and deployments to efficiently utilize compute resources.

To address these common issues, it is recommended to consult the Azure Machine Learning documentation, review the error logs and status messages, and leverage the available troubleshooting and monitoring tools provided by Azure Machine Learning.(Source: https://docs.microsoft.com/en-us/azure/machine-learning/how-to-troubleshoot-endpoints-batch)",5,5,5,F,
